Epoch,im_loss,re_loss,all_loss,psnr
1,0.0,0.018017606778,0.0502250799063,26.8036715638
2,0.0,0.00736261829099,0.0234717165374,33.4116508158
3,0.0,0.00458974962715,0.0159610263919,33.8549811953
4,0.0,0.00324618807909,0.0123879223088,35.5778905713
5,0.0,0.00261161536698,0.0113390574697,35.2734378045
6,0.0,0.00284880346259,0.0127215497302,35.301219664
7,0.0,0.00221437047532,0.0113658963025,35.2069719495
8,0.0,0.00188988542967,0.0103008008816,36.6016139793
9,0.0,0.00182849957756,0.00939075272022,36.0277585677
10,0.0,0.00137831852771,0.00730246520305,35.2271897725
11,0.0,0.00134318825175,0.00871424389664,35.9043624188
12,0.0,0.00125493297607,0.00738511485344,34.7366014334
