Epoch,im_loss,re_loss,all_loss,psnr
1,0.0,0.0130748614203,0.0417958580423,24.2047889529
2,0.0,0.0039461027889,0.0194454776123,35.7422949963
3,0.0,0.00226917374821,0.0147490749136,36.9632789009
4,0.0,0.00153340428369,0.0106089304492,37.5480267694
5,0.0,0.00129591684672,0.00965222684317,36.5480833807
6,0.0,0.00116213528381,0.00970595370745,37.2419503815
7,0.0,0.00111201834225,0.00813536849455,36.7047474325
8,0.0,0.00108654538635,0.0079167759337,37.5219057614
9,0.0,0.00108185081917,0.00785371314269,36.3507214376
10,0.0,0.00105259482225,0.00781720682862,37.1854757865
11,0.0,0.00105068394623,0.00906222178019,37.3456773751
12,0.0,0.0010514016496,0.00840380856534,37.2941756391
13,0.0,0.00104563440254,0.00789949384052,36.702569422
14,0.0,0.00104059538862,0.00970546900062,37.4118506293
15,0.0,0.00102851711854,0.00735328162555,37.5859225686
16,0.0,0.00103229580272,0.00744922944577,38.0597721371
17,0.0,0.0010319644789,0.0103475428652,37.256622954
18,0.0,0.00102891495626,0.00759447250166,36.4085297079
19,0.0,0.00102733557287,0.0115085801692,36.4547154957
20,0.0,0.00102737564885,0.00997164002038,36.9510528137
