Epoch,im_loss,re_loss,all_loss,psnr
1,0.0,0.0216575706251,0.0531968829561,21.9512280529
2,0.0,0.00634751697494,0.0191355941775,33.1632172009
3,0.0,0.00329212812622,0.0137841523075,34.9421306974
4,0.0,0.00299957076574,0.0129235003313,35.2179594536
5,0.0,0.00225659378868,0.0113879354163,34.9407600128
6,0.0,0.00204205265353,0.010907124675,35.0056251641
7,0.0,0.00149755215865,0.00922258072321,36.4409377059
8,0.0,0.00140231836122,0.00929449466904,34.8813283084
9,0.0,0.00150321304946,0.00827937795442,35.7725605311
10,0.0,0.00146125346443,0.0123307094698,35.0967977765
11,0.0,0.001349132344,0.00890096479138,35.604047148
12,0.0,0.0013327378441,0.00795658816456,35.0174002674
13,0.0,0.00119261145168,0.00995300687977,36.0062469963
14,0.0,0.00122486702061,0.0067066835049,34.9499422072
15,0.0,0.00120846074688,0.00817255883224,34.7363871259
16,0.0,0.00121046829207,0.00952568873551,34.8200206957
17,0.0,0.0011803739048,0.0083508139201,35.608132773
18,0.0,0.00110077670119,0.00741413909815,36.7620926328
19,0.0,0.00110753413438,0.00802572403865,35.6810086159
20,0.0,0.00112686713163,0.00934508726509,35.6653941627
