Epoch,im_loss,re_loss,all_loss,psnr
1,0.0,0.0210236866969,0.0585719513018,15.197871838
2,0.0,0.00514873001299,0.0213307014808,13.7096210363
3,0.0,0.0032007190242,0.0157772845123,13.692131001
4,0.0,0.0022608209452,0.0126962820169,14.8382120829
5,0.0,0.00161214573208,0.0116278836858,17.5290607583
6,0.0,0.00143495018837,0.00968292255319,13.8555519335
7,0.0,0.00138971888278,0.0109708187595,14.1366091303
8,0.0,0.00124108396298,0.00838786120142,13.3773981643
9,0.0,0.00117642709317,0.0133554640267,13.4941531958
10,0.0,0.00113495139395,0.00970488542731,14.8596275051
11,0.0,0.00110826885793,0.0106041834224,17.1405586833
12,0.0,0.00111139846621,0.0104793007941,14.6893821199
13,0.0,0.00109781433433,0.00961679168572,17.0626109088
14,0.0,0.00108581837317,0.0113632778597,22.2120084907
15,0.0,0.00107962161596,0.00914882800704,16.3917064262
16,0.0,0.001077215372,0.0113809929563,13.2274961694
17,0.0,0.00106749702852,0.0106653018409,14.1339688052
18,0.0,0.00106553730565,0.0123053670091,17.4407461046
19,0.0,0.00105250236052,0.009278591373,13.6543876513
20,0.0,0.00105770149157,0.0116056982104,14.1926368844
