Epoch,avg_psnr_predicted_save,avg_sei_predicted_save
400,23.7247089017,[ 0.00019851]
800,38.0661746924,[  2.05640905e-08]
1200,38.3218301503,[  4.66608156e-08]
1600,38.4745860937,[  7.15156535e-08]
2000,38.5419305143,[  6.08986740e-08]
2400,38.5694280067,[  3.51221083e-08]
2800,38.5668279073,[  4.28390266e-08]
3200,38.6243928133,[  5.33778892e-08]
3600,38.6689825735,[  1.89689470e-08]
4000,38.6167402217,[  5.10183980e-08]
