Epoch,avg_psnr_predicted_save
10,39.1197821967
20,39.1613253017
30,39.1736786788
40,39.1977566113
50,39.2254555708
60,39.299578309
70,39.5031264254
80,39.6368825734
90,39.7888298395
100,39.9912770246
110,40.1618850847
120,40.2838953051
130,40.4368516533
140,40.6196069156
150,40.7495493191
160,40.8534051805
170,40.9479548178
180,41.014418498
190,41.0542920935
200,41.0877101299
210,41.113718433
220,41.1266563009
230,41.1341916343
240,41.1424223765
250,41.1402348422
260,41.153016103
270,41.1599338371
280,41.1614284883
290,41.1649006389
300,41.1658398827
310,41.1619828025
320,41.166667075
330,41.1708276882
340,41.170432599
350,41.1757780514
360,41.1779951546
370,41.1788647397
380,41.1742093311
390,41.1813480342
400,41.1821180803
