Epoch,avg_psnr_predicted_save
10,39.4400678482
20,40.5552828832
30,40.7655228331
40,41.1665653481
50,41.1770426696
60,41.1363540528
70,41.1955762411
80,41.1762406886
90,41.1488536989
100,32.9035596671
110,37.4872167715
120,38.6528328266
130,38.9948663396
140,39.2320157872
150,39.3532889173
160,39.2854994217
170,39.4021646011
180,39.5754144048
190,39.6676519253
200,39.7179237637
210,39.8807095267
220,40.1398960776
230,40.3084790383
