Epoch,avg_psnr_predicted_save
10,39.0939003412
20,39.1130754649
30,39.1178363674
40,39.1236548217
50,39.1282426056
60,39.1348312167
70,39.1441542253
80,39.1582518609
90,39.1869374708
100,39.2633745642
110,39.6793905248
120,40.2182826538
130,40.7079916064
140,40.9077162519
150,40.9899834158
160,41.0668829112
170,41.1043182495
180,41.1053816942
190,41.1119550512
200,41.1352647428
