Epoch,avg_psnr_predicted_save
10,39.1582253642
20,39.7452454078
30,41.0751019863
40,41.138028956
50,41.1520241846
60,41.1648882005
70,41.1885724583
80,41.1724095353
90,41.2120738578
100,5.65178644861
110,25.1822733131
120,30.1380301486
130,32.6055324447
140,34.2700651499
150,35.1691172137
160,36.1963820292
170,37.1674943896
180,37.6490966393
190,37.9290238323
200,38.414121684
210,38.476045298
220,38.7108338666
230,38.9809145252
