Epoch,avg_psnr_predicted_save
10,38.2972133978
20,39.0589319521
30,39.0933563957
40,39.105026348
50,39.110340374
60,39.1133794622
70,39.117040724
80,39.1189583583
90,39.1217487592
100,39.1231337115
110,39.1244688606
120,39.1266797863
130,39.1284156051
140,39.1302702341
150,39.1335640613
160,39.1379303133
170,39.1412526302
180,39.1453821735
190,39.1493165101
200,39.1544527041
210,39.1618935179
