Epoch,avg_psnr_predicted_save,avg_sei_predicted_save
400,38.6031628906,[  1.30329656e-08]
800,38.7698135928,[  1.13040795e-08]
1200,38.7773672798,[  9.20645241e-09]
1600,38.8159194737,[  1.10595366e-08]
2000,38.8780413532,[  9.20405288e-09]
2400,38.897678029,[  7.13375686e-09]
2800,38.882187194,[  1.16130831e-08]
3200,38.9459886198,[  3.15169756e-08]
3600,38.9551267201,[  1.34557674e-08]
4000,39.0017106411,[  1.92594249e-08]
