Epoch,avg_psnr_predicted_save
400,37.8518085719
800,38.3362603562
1200,38.4782919387
1600,38.5996649983
2000,38.6860033893
2400,38.7959869194
2800,38.8515387792
3200,38.9463622589
3600,38.9917421035
4000,39.0265475059
