Epoch,avg_psnr_predicted_save
100,36.5361428341
200,36.6152376747
300,37.1531907794
400,37.3577539196
500,37.4628572009
600,37.5589240679
700,37.653350942
800,37.6958638636
900,37.727088261
1000,37.8495486682
