Epoch,avg_psnr_predicted_save,avg_sei_predicted_save
400,38.3249833069,[  6.11759284e-09]
800,38.5960312496,[  1.30239778e-08]
1200,38.8856821768,[  2.19868188e-08]
1600,38.9995437661,[  1.55045268e-08]
2000,39.0352734381,[  4.51130776e-08]
2400,39.0849989316,[  1.78632844e-08]
2800,39.0872768697,[  2.64267503e-08]
3200,39.1095637869,[  2.63604243e-08]
3600,39.11986366,[  3.17533474e-08]
4000,39.1361838272,[  2.50066017e-08]
