Epoch,im_loss,re_loss,all_loss,psnr
1,0.0,0.0261444963345,0.0635769934478,21.6077465616
2,0.0,0.00968652225988,0.0285526501777,31.8007083401
3,0.0,0.00804003755647,0.0263333622874,33.1251168053
4,0.0,0.00612132197288,0.0201820260633,34.0825203244
5,0.0,0.00534814392449,0.017635530771,34.0206127629
6,0.0,0.00421986723086,0.0140513986645,34.4518092457
7,0.0,0.004101268963,0.0180279032475,34.6450915147
8,0.0,0.00385098744036,0.0139421422923,34.3900258181
9,0.0,0.00294407214229,0.0123339704111,34.9306498621
10,0.0,0.00324404844485,0.0177727686982,35.2586221666
11,0.0,0.00232211989351,0.0108722725312,35.2443420228
12,0.0,0.00188170381906,0.00861564399251,35.1466712156
13,0.0,0.00152577538657,0.0074810185258,35.1056759402
14,0.0,0.001664977399,0.00867906565228,35.2856789624
15,0.0,0.0014353718725,0.00850943908815,36.1261853172
16,0.0,0.00132685956355,0.00845126269004,35.4219843164
17,0.0,0.00138899216704,0.00927260820754,35.1954128761
18,0.0,0.00115226742028,0.00857593070462,35.1620627778
19,0.0,0.00117545660627,0.00908054182814,36.2532518632
20,0.0,0.00117421556074,0.00955552185505,35.2885217246
