Epoch,im_loss,re_loss,all_loss,psnr
1,0.0,0.0151293881587,0.0467938170768,22.8613810137
2,0.0,0.00397726102674,0.0184357985272,35.093689551
3,0.0,0.0022998513421,0.0135758761025,36.9069615639
4,0.0,0.00172491041012,0.0123364660889,36.9328685754
5,0.0,0.00137113014935,0.0119328808971,37.2090136856
6,0.0,0.00118903573311,0.00788124353276,37.7343169088
7,0.0,0.00113108972728,0.011357161653,38.1828774856
8,0.0,0.0011015891243,0.00952476517414,37.7551478605
9,0.0,0.001094897851,0.00814647636143,36.5345910497
10,0.0,0.00107878109557,0.00855736644007,37.214949422
11,0.0,0.00108040516789,0.00851259725168,37.3288113503
12,0.0,0.00106602931337,0.00879149648827,36.6305887061
13,0.0,0.00105656464002,0.00938833100372,36.7762668069
14,0.0,0.00104658241034,0.0108370721748,37.2186374501
15,0.0,0.00104640721984,0.0091610283067,37.812428065
16,0.0,0.00104490238591,0.00948071493185,37.8262692332
17,0.0,0.00103847112623,0.00948296617134,36.8376555623
18,0.0,0.00103403916291,0.00990827336791,36.5174384567
19,0.0,0.00103253338893,0.00861760373227,37.1871982906
20,0.0,0.00103925621079,0.00880371250678,37.4026599699
21,0.0,0.00103634958214,0.00925678609055,37.3759509712
