Epoch,im_loss,re_loss,all_loss,psnr
1,0.0,0.0159533950384,0.0454782090965,22.1378325534
2,0.0,0.00401875599346,0.0181522087078,35.8219488124
3,0.0,0.00201508041064,0.0120369546465,37.0745091626
4,0.0,0.00138178707857,0.00995241421042,37.2094869276
5,0.0,0.0012780694582,0.0125822639733,37.6381916116
6,0.0,0.00117028475215,0.0104945592582,37.8465500107
7,0.0,0.00114773081441,0.00920737124979,36.4716531392
8,0.0,0.00110480232106,0.00658258941257,37.2757089172
9,0.0,0.00109379293863,0.00833699661889,38.0965827324
10,0.0,0.00108839954773,0.00850052325986,37.3188425335
11,0.0,0.00108672225906,0.0093023534806,37.343730081
