Epoch,im_loss,re_loss,all_loss,psnr
1,0.0,0.0116876622546,0.0377039196668,22.7873139451
2,0.0,0.00287889497704,0.0165353147429,36.1563479045
3,0.0,0.00180636614969,0.0109519321471,37.6435974833
4,0.0,0.00129531198181,0.00829848591238,37.2655527888
5,0.0,0.0012084199785,0.00850423455704,37.3188665047
6,0.0,0.0011889666348,0.0103529628075,37.504309234
7,0.0,0.00109483205888,0.00973908712622,36.1169092886
8,0.0,0.00107875042886,0.00892640697421,36.7822774282
9,0.0,0.00106577097322,0.00872107213363,37.27349615
10,0.0,0.00105288865161,0.00829407838173,37.7565071349
11,0.0,0.00105637186207,0.00914583738195,37.3116855751
12,0.0,0.00105311362422,0.00808043080615,36.2887562663
13,0.0,0.00104508599034,0.00890480246162,37.2635976553
14,0.0,0.00103881903051,0.00999065299984,36.4567957983
15,0.0,0.00104228394048,0.0101705905632,36.9047135435
16,0.0,0.00104777984961,0.0112693127419,36.4864848455
17,0.0,0.00104848268675,0.0122993743687,37.5637911986
18,0.0,0.00105178148078,0.00914674368105,37.7830964698
19,0.0,0.00103625269257,0.00855496283621,37.3274359824
20,0.0,0.0010380851425,0.00939835176687,36.8793256139
21,0.0,0.00104726915306,0.00881904920097,37.1884898821
